Text,Sentiment_Score,Sentiment_Label
Ahhh my mommie got me new sheets for my bed  so comfy,0.9804524,positive
_celeste  finally some sleep in silence,0.7100387,neutral
im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,0.77756476,positive
is pretty dang tired. but chambers class is for napping.,0.5216019,negative
i have to poop...   is hogging the shitter,0.9126112,negative
YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,0.4295619,neutral
Happy muthath`s day to all moms!!! I salute you!,0.9914972,positive
Hahaha! Alright  ..,0.6951774,positive
 Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,0.9523355,positive
 good to know   thanks,0.9545534,positive
 what are you? flavor of the day?,0.8753412,neutral
weathers let me down this morning...ugh!...hada gd nite tho!,0.9320866,negative
Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock,0.63258076,positive
" E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",0.99091244,positive
 that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,0.58544225,positive
 oh i love sunday mornings like this - mum just made scrambled eggs on toast,0.97681683,positive
"hate working when its sunny,boohoo",0.49318418,negative
is ONLiNE  http://plurk.com/p/stjdg,0.86425966,neutral
bundy. in 3 days.!!!! warm weather here i come!,0.88048726,positive
Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,0.8287644,negative
a Dutch marketing agency is asking job applicants to apply in 140 characters or less  http://www.energize.nl/twillicitatie/,0.84110504,neutral
Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,0.96859723,negative
_chick haha. I completely agree,0.8751804,positive
"If we don`t pack, she can`t leave, right?",0.7369832,neutral
 ****  lol....where u headed to?,0.6980899,neutral
Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,0.93265516,positive
" many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",0.503592,positive
it`s nice to leave the office when the sun is still up,0.9355354,positive
I will miss the soccer moms,0.646356,negative
" between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny",0.8466727,negative
 *sighs* Ah well.  Maybe my second email will clear it up and get him approved.,0.6360095,neutral
"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****",0.7758436,negative
 --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary,0.6830329,neutral
looking forward to body works today,0.9709401,positive
just watched yes man. bahaha. that movie is messed up,0.95882475,negative
 Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,0.8024614,negative
" Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",0.54292226,negative
Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon,0.5772695,positive
Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,0.4515694,neutral
 Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me,0.44089192,neutral
 glad to know that the ad display problem was due to a firewall config at yr office. phew!,0.7105348,positive
 woot!,0.8974287,positive
"'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.",0.43159503,negative
 ???    ?????? - http://bit.ly/nAcK2,0.73565704,neutral
"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!",0.9013336,positive
Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball,0.98597044,positive
Must head back to the office,0.864274,neutral
St joe is dirty.,0.7922269,negative
http://twitpic.com/4w67k - Camping at black butte lake,0.9026225,neutral
" are you getting my messages or do you have to add me to recieve them, soz I`m new to this",0.8307832,neutral
I hate my life,0.9779676,negative
sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,0.9425042,negative
 ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,0.7644051,negative
just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!,0.949495,negative
crying real tears,0.4596636,negative
_Brown been holding onto this one for a while  http://twitpic.com/4w5eh,0.83056164,neutral
 Panchito`s burfday party tonight... wish you were here kiddo!,0.8988847,positive
Back from town and my Mac crashed on me  but it`s better now,0.40681395,neutral
ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?,0.83288115,neutral
the best things in life are free  x,0.9487855,positive
misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day,0.9151022,positive
I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,0.8529002,positive
 that is a bummer,0.9592298,negative
 He is the truth! But what about Maxwell? You can`t forget the future father of my children!,0.47234243,positive
http://twitpic.com/665jw The racoons ate our bread!,0.88673437,negative
Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.,0.9822642,positive
"_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.",0.4822111,negative
No launch today. Teacher changed plans and we watched a stupid move about tesla,0.8602241,negative
  it`s very pleasant. i sooo rarely just have time to kill...,0.82836086,positive
 thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!,0.98610467,positive
__O lol but tiz a good song,0.9367469,positive
Again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time   Will keep going,0.46762165,neutral
"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.",0.9088084,negative
 what causes the frustration buddy?,0.7109516,negative
_Wright THANK YOU! 'Return of the Mack' is THE jam!,0.97664195,positive
Ready for this saddenning depressing dullful upsetting dreadful weekend.,0.9681277,negative
sorry for my lack of tweets  ive been buzy. new vid this saturday!!,0.50103223,negative
" I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt",0.8245334,positive
going to bed  cant take thiss any longeerr maan. [U],0.79895216,negative
_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!,0.80122125,positive
 Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done,0.8108688,positive
Spent the last hour signing yearbooks. I`ll miss you guys!,0.5947473,positive
And I just love every little thing about you...,0.96478945,positive
My mobile has stopped recieving text messages AGAIN. Stoooopid thing,0.94753724,negative
" Hi Simon, let me know when it`s done",0.843694,neutral
Had an amazing night with my favorite lady friend,0.99197936,positive
_Oyler Poor little woman with her smushed in head,0.7690644,negative
is fixin to clean the house for my mom for mother`s day,0.63647246,neutral
"Why do you think people say, 'save the drama fo yo mama?' I`m sure even yo mama wouldn`t wanna listen to ur drama. Ode to mother`s day!",0.7913232,negative
 Hey! That`s my school! I hate that place.,0.98096806,negative
 i did i only got 3 stars on the pre wash then failed the rince,0.6233008,negative
MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,0.92702895,positive
 follow me too,0.6502705,neutral
bought three books!! yipee!!  now who`s with me on that read-ten-books-during-the-summer thing?,0.875993,positive
I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,0.9055213,negative
", goodnight",0.53730893,neutral
"_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick  How`s you?",0.9279149,negative
" but i do emily ahahha you scare me, so it would work",0.55458355,neutral
Now I need to change my monitor,0.50330055,negative
" I know dude, i`m doing re-runs, making Jenny watch them now too so we can have conversations LOL.  Haven`t been online much",0.60352516,neutral
WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,0.47296226,neutral
should not have waled past the Quad! I want to be outside having fun.,0.4720551,positive
"just rocked home from maccas, and now signing a petition for big bang to tour aus  LOL",0.91745013,positive
i think the food i ate made me sick.. i no feel so good,0.9766524,negative
 eagerly anticipating twitpics,0.9375617,positive
"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",0.71889454,neutral
Just wants to stay in bed all day but has to go to work instead  sux,0.63038117,negative
chillen trying to figure this thing out gettin drunk,0.66407996,neutral
yay doctors  now interview then back 2 the doctor`s for blood work,0.8731948,neutral
Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...,0.7179839,positive
I`m siiiiiickkk  I dun feel good!!,0.8992246,negative
 Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic,0.8208589,positive
Glorious sunny day in London town.. I`m in drama school fighting people with swords while protecting my romantically structured face,0.5314604,positive
_89 I feel so sorry for her  hope she dnt cry 2nd time,0.7418637,negative
would wish the severe migrains would stop!!! doc`s prescriptions arent working,0.92101204,negative
"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!",0.9923383,positive
My Life Would Suck Without You - Kelly Clarkson,0.6296609,negative
revising for exams,0.75743026,neutral
" you should so host the next logies, i only laughed at your bit really",0.46579254,positive
 Hi Jordan i`m gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don`t leave us out.,0.5900393,neutral
__joy i feel like red lea now,0.75029826,positive
 I`d love to but I think the trek from London would be a bit too much,0.48167285,neutral
 hey hey,0.56155676,neutral
thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,0.7180022,negative
Is miserable  i feel like im gona cry  sux!,0.9295046,negative
 i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,0.94503075,positive
" LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?",0.90860975,positive
" lol, get watching it again  hehe",0.8728366,positive
 Hope you did great - you certainly spent enough time studying.,0.9675211,positive
 btw - downloaded iphone 3.0 sdk,0.73626053,neutral
Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,0.92926985,negative
" I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism",0.7096707,negative
" me? A doctor? *laughs* oh, no, no, no. I was _crane`s patient at Arkham Aslyum, but now I work for him",0.5638556,neutral
Morning all! Have a GREAT DAY! Off to school I go,0.9852592,positive
"now, in a weird mood  muahaz",0.5384618,negative
 congrats! Photo of dre?,0.96454316,positive
"#SanctuarySunday  thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!",0.8886822,positive
"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",0.7967357,positive
 ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.,0.47099334,neutral
" Oh, and a very good review",0.9005289,positive
_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,0.79878145,negative
I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*,0.934837,negative
 its hilarious,0.79669374,positive
 I love the guy that was standing behind me,0.98461086,positive
Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!,0.96198046,positive
lost my DC hat ..,0.594005,negative
starting the video editing of the first spanking movie we did with Mina ... it will be added to the next update,0.89351517,neutral
"   In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter  )",0.6205279,positive
"Sunny synday morning. Nicole is up later than usual, mommy got some sleep",0.6031938,neutral
Browsing  find everything about university & interior design.,0.66138524,neutral
I have not tweeted for SIXTEEN DAYS! I miss it =( I`ve been having fun though! =D Ingrid on mon was frakking awesome  BBQ today!,0.8442515,positive
 visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday  can`t luwas,0.6043412,neutral
 I am soo excited about your pasadena seminar...if only i can find the confermation email,0.9914619,positive
Ugh I don`t feel well again all of a sudden,0.95290875,negative
I want a new phone  I`ve seen too much cellphone commercials (,0.42953917,neutral
 we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while,0.507121,positive
 http://twitpic.com/4vuuy - That`s so cool.,0.9877508,positive
school. 39 days !!! so exited. Amazing premier ,0.988665,positive
  tis very useful indeed esp. for newbies like me!,0.9507009,positive
Gonna go and see my sister at Mount Sinai ....  she`s there for at least another 24 hours.,0.5258844,neutral
 it was just the handle tg,0.7858242,neutral
backe backe... MUFFINS!!!,0.52803147,neutral
is relaxing after working on Mothers Day.  Oh well. A good day had.  Hope you are all well,0.96306497,positive
lasttt mondayyy of classs,0.8744934,neutral
 yup!  Now I can join in on the nin access fun!,0.9279293,positive
"I just walked into work, all the while thinking that I was sitting in Bellagio this time Wednesday.",0.78407365,neutral
 unfair  I wanna go too.,0.46308348,neutral
Download movie  'A Good Day to Be Black &#38 Sexy' http://tinyurl.com/ckmkul cool #movie,0.8259054,positive
Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I`m sittin down!!,0.7133546,negative
" Aww, that`s sad.  I miss seeing you guys on the big screen.",0.809474,negative
 I knooww  & my hot water bottle iss in whangamata without me. ahhhhh,0.5959102,neutral
" eeeeep so jealous ;) I`m at work  um, how can u receive Viva? Do they broadcast it online? :plz:",0.43305448,neutral
 Thank you so much phaoloo !!!!,0.9879181,positive
 the hotel should be thankful,0.7606217,positive
"Watching GH. I feel so bad for Carly.  OMG, so **** up.",0.9610509,negative
 rofl that`s what we like to hear,0.6237263,positive
"Ok I`m frustrated, there is hella dust between the screens of my blackberry",0.9353088,negative
IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,0.8391927,negative
 We do! Its been to long! I think i have next weekend open. When are you going to have the house warming party,0.61685413,positive
"Change of plans, working inside bar tonight",0.92613727,neutral
 thanks for following,0.96448976,positive
" Well, good luck then.",0.734868,positive
at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,0.5338012,negative
Arghhhhhhhhh... i can`t keep up with these TwitterBones peeps,0.95812863,negative
Undervote is just going on  I`m all overalled up,0.7037151,negative
making german apple slice  nom nom nom,0.7721294,neutral
Looks like its another night at the office lol,0.5352196,positive
My tummy hurts,0.9573924,negative
Got about 2 hours sleep.,0.83941936,neutral
Anybody else experiencing painful slowdowns with facebook?,0.64230907,negative
Lol..2 people in falcon..and boo one of them being becca,0.56918347,neutral
i really need to earn money... so that i can watch the PCD concert,0.61977494,neutral
The poor Pirate had out his last wisdom tooth and is looking really peaky.,0.8240665,negative
Mozzer cancelled tonight by the looks of it.,0.5302899,negative
"waiting for aaron to get into town, and then leave him for work. booo",0.81105304,neutral
morning tweat tweat twitter,0.8419899,neutral
Headed home ... Charlie`s at the vet,0.8770048,neutral
i wanna b maliks from taking the stage,0.738299,neutral
is going to bed soon. happy mothers day to all the mothers  <333 ryan less than 3 weeks :],0.98011214,positive
"bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair",0.8983596,negative
 well even with her breakdown she was better than the other acts unfortunately! Britain`s got very little talent,0.4109153,neutral
about to go to leeds shopping,0.86512476,neutral
" Sadly, I can`t view that site due to region restrictions",0.9289323,negative
"It`s 20:50 hs and i`m still at the office...really tired,wanna go home!",0.7123098,negative
Aly & AJ new album this summer. YAY!,0.9652644,positive
_day26 ~ Awwwww have fun with the fam boo boo,0.97826856,positive
@ lovelytrinkets I like the way you worded that about Rocky Road,0.85113674,positive
Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.,0.9476143,positive
Got people don`t let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.,0.6849216,negative
I have nothing witty to say,0.7284107,negative
 me too.,0.67729706,neutral
Hi ho  hi ho it`s off to work we go,0.7786987,neutral
 Thanks for the hint.  http://tinyurl.com/chtx7e.,0.89583576,positive
" u welcome babe, kill the show! Yuuupp!",0.9672349,positive
" Hey, Candis.",0.71054393,neutral
 I was never a good stereotypical teen,0.86625874,negative
I love my Maitu. N she loves me. Happy mothers day mama!,0.9926865,positive
 i am so sorry,0.8419803,negative
i want to go to singapore but my mother seems not,0.56684977,negative
JB on the front of factor x!!!!! wooh contest timeee,0.73385245,positive
 so u aren`t going to be in Chicago,0.7681976,neutral
i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >,0.8079804,positive
So tired.,0.80165255,negative
had a lovely breakfast with mum...yummy pancakes,0.9866247,positive
 Yay! have fun,0.9875452,positive
 Why thank you... Us Mami`s are bringin` sexy back...,0.9560212,positive
 lucky! that`s awesome,0.98632324,positive
"Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)",0.7175889,negative
"I am craving Burrito Boys - Large halibut, with everything on it, no jalepenos, 1 line hot sauce. Can anybody hook me up?",0.65746367,neutral
Oh is that time for real?,0.77789307,neutral
So now we`ll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.,0.79413664,negative
"I love  very much  I called him, but he was talking to other fans  I love you a lot Mitchel! I`ll see u in El Cajon. June 7",0.9923995,positive
I misses my bed  so sleepy!,0.6097623,negative
"Woo! Two days till awesome gig, one day till Uni is finished for 12 days  #gigs #3yp",0.97581226,positive
No TV and no internet make Catherine something something?,0.51882505,neutral
Anyone have some advice??? I need it!!,0.739239,neutral
Just found mj mouse flats at DJs. Of course there are none left in my size,0.542881,neutral
I`m dreading hearing even worse news tonight,0.9686556,negative
